#{"t_start": 1630122648.5825846, "env_id": "ForexEnv-v0"}
r,l,t
-589.932088,400,8.423936
-188.936154,400,9.804071
-275.843824,400,11.476762
-161.194898,400,13.002869
-63.96672,400,14.177834
108.157182,400,15.542586
18.935792,400,22.520015
-212.889716,400,23.952566
654.045466,400,25.518307
-66.710214,400,26.747292
-390.235422,400,28.295191
60.205006,400,29.560467
5.562808,400,34.768949
-320.964107,400,36.0449
430.844307,400,37.349259
874.581941,400,38.780201
640.337204,400,40.532479
-167.533435,400,42.271172
257.140362,400,47.126667
-261.851893,400,48.433703
372.924507,400,49.660454
-418.458163,400,51.054695
745.608818,400,52.317537
267.204507,400,53.567849
-432.291063,400,54.857624
949.686132,400,59.916373
-161.957093,400,61.214168
216.36306,400,62.495609
-91.897192,400,63.78132
-711.578504,400,65.037813
-44.149382,400,66.276037
645.170184,400,70.880385
37.317253,400,72.272584
405.415013,400,73.594283
-58.112214,400,74.866484
-656.794282,400,76.282975
-101.215897,400,77.818452
114.703206,400,82.478482
0.793594,400,84.233792
-197.076227,400,86.132776
895.20907,400,87.593269
37.558744,400,88.851981
-227.580601,400,90.075874
110.244477,400,94.767566
53.027087,400,96.110827
-276.744151,400,97.559204
-570.803657,400,98.903578
-621.686121,400,100.160009
-1.3496,400,101.563493
-371.85515,400,102.83642
-779.888153,400,107.414559
118.595654,400,108.904608
-896.201966,400,110.346718
-145.461656,400,111.525672
108.547378,400,112.878474
