#{"t_start": 1630122648.7000747, "env_id": "ForexEnv-v0"}
r,l,t
70.543014,400,8.307441
391.26765,400,9.690574
86.927205,400,11.360272
537.407382,400,12.888381
998.226894,400,14.060344
-379.181625,400,15.42609
-539.83508,400,22.404534
-242.420844,400,23.835076
1276.58453,400,25.400817
407.996764,400,26.629802
45.002209,400,28.178701
528.59861,400,29.443976
-57.084938,400,34.653466
483.124261,400,35.92741
995.868968,400,37.231769
-165.424056,400,38.662711
563.288874,400,40.415988
-169.060016,400,42.15468
-535.06875,400,47.010215
-55.03443,400,48.316213
-764.545316,400,49.543964
301.283774,400,50.939217
580.251512,400,52.200047
-281.776655,400,53.452363
1101.585574,400,54.742118
-47.231543,400,59.799882
46.481616,400,61.097677
1178.451238,400,62.378119
553.057286,400,63.664833
-572.126465,400,64.921343
-709.355701,400,66.158547
326.364744,400,70.763894
-613.034421,400,72.156099
701.645754,400,73.477794
-334.80943,400,74.749895
83.218744,400,76.165485
1791.140455,400,77.700962
1529.258563,400,82.361993
867.462651,400,84.117295
273.209128,400,86.016288
-124.792613,400,87.475779
1100.668565,400,88.734491
-85.802436,400,89.959383
199.724733,400,94.651076
606.073557,400,95.993337
-269.342778,400,97.442714
925.937523,400,98.786886
-443.137058,400,100.042519
704.251256,400,101.446002
-188.4378,400,102.719933
-320.659691,400,107.297069
326.508386,400,108.790132
-267.76542,400,110.229228
31.497904,400,111.409183
-220.094484,400,112.760984
