#{"t_start": 1630122648.6470447, "env_id": "ForexEnv-v0"}
r,l,t
1265.163513,400,8.360471
1742.284401,400,9.741599
899.865432,400,11.412302
609.301681,400,12.940416
1445.990663,400,14.113374
1332.682502,400,15.47912
1507.63075,400,22.456561
1409.17855,400,23.888106
1068.137051,400,25.453847
977.065364,400,26.682832
1729.686842,400,28.231443
930.339189,400,29.497006
1174.163082,400,34.706496
1512.795541,400,35.98044
1202.933189,400,37.284799
828.926229,400,38.715741
931.581082,400,40.468019
1448.736294,400,42.20771
2696.272263,400,47.062207
-113.517831,400,48.369243
74.837952,400,49.595994
767.374112,400,50.991235
947.909239,400,52.253077
638.351525,400,53.504389
897.144837,400,54.795148
1389.542197,400,59.852912
1146.0078,400,61.149708
2729.868363,400,62.431149
1048.5694,400,63.717863
1455.538691,400,64.973353
1724.807501,400,66.211577
958.314694,400,70.816924
1542.226047,400,72.209129
1176.203856,400,73.530824
1275.282311,400,74.802925
1168.405683,400,76.218515
1330.775583,400,77.753992
939.708968,400,82.414022
858.642896,400,84.169332
1717.391471,400,86.069318
1083.206691,400,87.528809
641.613047,400,88.787521
797.786285,400,90.01206
1374.400497,400,94.704106
944.514139,400,96.046367
1846.151415,400,97.494744
638.331504,400,98.839916
835.849089,400,100.095549
886.314364,400,101.499032
367.808162,400,102.772963
328.401604,400,107.350099
1256.253429,400,108.842155
710.229805,400,110.282258
1559.317298,400,111.461212
742.376334,400,112.814014
