#{"t_start": 1630122648.777058, "env_id": "ForexEnv-v0"}
r,l,t
-1593.494032,400,8.230458
-621.376665,400,9.614005
-965.507628,400,11.283289
824.380966,400,12.812398
-642.807968,400,13.983361
847.240022,400,15.349107
171.527659,400,22.328544
498.843866,400,23.758093
-524.183555,400,25.323834
-102.757813,400,26.552819
262.970207,400,28.101718
40.739049,400,29.366992
-991.90915,400,34.577484
426.446365,400,35.851439
207.789059,400,37.155785
199.519884,400,38.585728
-9.745073,400,40.339005
-789.353879,400,42.078694
1340.942273,400,46.933231
70.501133,400,48.23923
-364.531607,400,49.466981
-536.251767,400,50.863248
-771.721365,400,52.123064
947.664157,400,53.37538
-146.235388,400,54.666136
-82.908862,400,59.722899
88.400851,400,61.020694
-55.369959,400,62.301135
578.697484,400,63.58785
-605.453269,400,64.845361
-101.094568,400,66.081564
1172.425708,400,70.686911
-508.214969,400,72.079116
1063.184768,400,73.400811
-980.72409,400,74.672911
-244.211127,400,76.088502
-341.84664,400,77.624978
1022.380524,400,82.28501
-367.282013,400,84.040312
-190.379733,400,85.939305
-850.978884,400,87.399794
-919.222545,400,88.658479
-622.334857,400,89.8824
-224.169575,400,94.574093
-533.316244,400,95.91735
-419.686231,400,97.365731
-1402.402622,400,98.71092
45.59415,400,99.966536
820.496821,400,101.369019
-457.78008,400,102.643954
-2120.798073,400,107.221087
255.646723,400,108.713148
275.784197,400,110.153246
29.342,400,111.332199
-52.301877,400,112.685001
