#{"t_start": 1630122772.3747501, "env_id": "ForexEnv-v0"}
r,l,t
29.132745,400,7.403806
503.222788,400,8.754299
1024.571183,400,9.92826
861.726515,400,11.144171
1219.171381,400,12.284303
234.593417,400,13.476366
222.290652,400,18.257913
300.948145,400,19.459489
211.54695,400,20.851182
567.277127,400,22.539927
494.933763,400,24.016881
157.713024,400,25.4589
457.788727,400,30.759615
-33.657731,400,32.076024
971.733542,400,33.727172
12.772291,400,35.191525
-41.137282,400,36.47514
477.54205,400,38.009511
48.867456,400,43.198685
535.340833,400,44.350945
261.427769,400,45.47575
274.489108,400,46.704236
282.585183,400,48.251977
675.560462,400,49.582252
297.401748,400,50.818613
-293.892582,400,55.891329
774.113698,400,57.085069
39.737089,400,58.217607
-238.432787,400,59.376092
1234.926669,400,60.641234
992.713489,400,61.898787
1163.451872,400,66.402897
1320.922971,400,67.739014
960.750394,400,69.304008
1000.186571,400,70.656742
258.889551,400,72.076058
1156.286362,400,73.621462
264.078744,400,78.133492
849.432109,400,79.250411
974.288274,400,80.435893
892.002293,400,81.758154
371.595628,400,83.079655
1050.565229,400,84.351856
1172.509314,400,88.876203
712.870287,400,90.172987
325.475805,400,91.375311
161.38837,400,92.7221
531.284983,400,93.970828
493.59112,400,95.335222
653.70321,400,96.534803
275.516368,400,101.374824
936.826879,400,102.746337
663.666574,400,103.975951
150.718645,400,105.348907
614.128929,400,106.724369
511.806652,400,108.171762
141.828983,400,113.127107
723.050274,400,114.374898
930.859004,400,115.702183
568.450848,400,116.927114
475.697752,400,118.573966
211.361332,400,120.156301
706.72622,400,125.167114
723.684567,400,126.487911
843.409724,400,127.903215
500.934185,400,129.20841
651.645881,400,130.458357
1050.709437,400,131.818244
111.272,400,136.419621
24.228386,400,137.703039
478.217443,400,138.976785
370.773089,400,140.252173
204.322944,400,141.551065
399.985893,400,142.821887
584.342062,400,144.108628
618.313599,400,148.894365
-52.581497,400,150.101979
602.542675,400,151.183786
133.216998,400,152.326032
132.752081,400,153.456287
669.315546,400,154.619466
289.578251,400,158.889309
580.501532,400,160.108816
91.525386,400,161.347365
680.217199,400,162.538364
336.569387,400,163.858238
-390.280307,400,165.101185
1040.696638,400,169.611651
421.575114,400,170.854751
604.701187,400,172.007521
908.707989,400,173.174254
550.252565,400,174.435199
437.945783,400,175.616692
912.463074,400,180.166341
612.749258,400,181.635846
100.696527,400,183.321277
789.363734,400,184.865567
353.126398,400,186.176146
-63.426393,400,187.392101
482.451203,400,188.855541
869.71184,400,193.605583
463.180144,400,194.951828
374.653465,400,196.222583
303.488152,400,197.523777
141.879659,400,199.056185
518.809314,400,200.66739
543.296636,400,205.839533
193.809894,400,207.170028
971.214025,400,209.03709
436.651961,400,211.155002
-30.75298,400,212.460546
573.410206,400,213.713487
1210.967518,400,218.606653
1097.832351,400,219.93459
576.254098,400,221.072285
705.412152,400,222.354112
374.842154,400,223.604137
410.106106,400,224.93727
291.031538,400,229.726056
738.323295,400,231.342651
810.519112,400,233.015963
886.266285,400,234.636101
1295.488832,400,236.370766
782.668566,400,237.944445
194.898081,400,239.507963
769.867981,400,244.893093
399.469836,400,246.541883
424.926341,400,248.090126
511.087933,400,249.531182
29.856074,400,250.852106
359.250803,400,252.107242
983.846846,400,256.905787
424.039613,400,258.35196
199.469253,400,259.639075
436.529803,400,260.878931
773.217655,400,262.152596
782.303977,400,263.431992
749.328229,400,268.110976
284.985812,400,269.481323
837.28202,400,270.672173
1464.663773,400,271.952737
787.661206,400,273.259285
312.217242,400,274.584215
-255.528126,400,279.291982
283.409398,400,280.591857
510.593079,400,281.944248
809.33021,400,283.183747
1061.568912,400,284.531571
560.709226,400,285.754049
753.814194,400,286.991358
615.804039,400,291.79039
912.635635,400,293.103903
