#{"t_start": 1630122772.3156927, "env_id": "ForexEnv-v0"}
r,l,t
-299.65218,400,7.462863
-140.314921,400,8.813357
-531.150033,400,9.987318
-502.100857,400,11.203229
-151.539237,400,12.343361
-594.516295,400,13.535424
20.022956,400,18.31697
-248.803802,400,19.518547
204.218147,400,20.90924
79.501987,400,22.597983
-252.889591,400,24.075939
15.867341,400,25.517957
30.109713,400,30.818672
-647.573152,400,32.135082
-14.012725,400,33.78623
-46.770092,400,35.250583
-387.274461,400,36.534197
253.871874,400,38.067569
-321.916939,400,43.257742
-758.498721,400,44.410002
-721.690253,400,45.533775
-782.921269,400,46.763294
-716.481289,400,48.311035
-1040.321895,400,49.639315
-242.004448,400,50.87767
-142.763591,400,55.950386
-185.942503,400,57.144127
-226.760712,400,58.276664
89.034442,400,59.43515
-148.370161,400,60.700292
-80.579673,400,61.957845
-392.52588,400,66.461955
-225.327117,400,67.798071
-293.233,400,69.362067
-175.52926,400,70.715799
-338.214995,400,72.135115
-437.0202,400,73.679518
279.1572,400,78.19255
-12.26657,400,79.308482
-128.719533,400,80.494951
-249.106916,400,81.817212
-13.108401,400,83.138713
-409.608992,400,84.410913
-387.695471,400,88.935261
-180.659795,400,90.232044
-674.485518,400,91.434368
-454.424608,400,92.781157
-365.794466,400,94.029886
-188.567585,400,95.39428
-344.197542,400,96.59386
-684.516534,400,101.433881
486.00977,400,102.804395
737.408085,400,104.035009
-208.611047,400,105.40698
-10.487233,400,106.782809
406.821315,400,108.230819
9.42175,400,113.186164
416.117599,400,114.432953
135.798777,400,115.761241
504.888575,400,116.986172
156.151193,400,118.631998
-620.792656,400,120.215358
-236.826307,400,125.226171
-324.118587,400,126.546969
-259.201217,400,127.96127
303.927784,400,129.267468
20.314811,400,130.517414
-420.760321,400,131.877301
176.212829,400,136.478678
15.003932,400,137.762096
-123.450113,400,139.035843
-183.665267,400,140.31123
-66.778502,400,141.610122
-553.68218,400,142.880944
-362.48937,400,144.167685
-125.245685,400,148.953423
-584.513723,400,150.161036
-216.153098,400,151.242844
177.217725,400,152.38509
-80.098199,400,153.515345
26.765616,400,154.678524
250.420403,400,158.948367
-75.989153,400,160.167873
-78.112614,400,161.405418
-826.524003,400,162.597421
-879.49316,400,163.916296
211.598933,400,165.160243
-666.2832,400,169.670708
-312.062833,400,170.912808
223.000019,400,172.066579
246.069719,400,173.233312
-95.730348,400,174.494257
-400.982597,400,175.675749
18.200166,400,180.224393
-175.757367,400,181.694903
-404.095707,400,183.380334
-645.668928,400,184.924625
542.896969,400,186.235203
-296.38191,400,187.451159
7.258434,400,188.914599
-301.947235,400,193.664641
109.64208,400,195.010885
-553.249068,400,196.281641
-352.082933,400,197.582834
-219.735112,400,199.115242
-503.880631,400,200.726447
-474.988658,400,205.898591
-289.144635,400,207.228086
-204.891732,400,209.096147
-646.418649,400,211.214059
-58.853442,400,212.519604
-81.155693,400,213.771529
-174.215217,400,218.665711
-383.257094,400,219.993648
138.906141,400,221.131343
-539.659334,400,222.413169
71.068736,400,223.662164
341.613751,400,224.996328
343.361721,400,229.785113
-522.380404,400,231.400708
-361.540809,400,233.07502
-233.648933,400,234.695158
-135.970622,400,236.429824
-52.890623,400,238.003502
-323.059575,400,239.56702
-73.832743,400,244.951154
-202.002886,400,246.59994
-286.336661,400,248.149183
-903.134008,400,249.59024
-159.44599,400,250.910163
-144.19509,400,252.165302
-410.740631,400,256.964844
378.318186,400,258.411017
171.85618,400,259.697136
-364.752741,400,260.937988
-904.746484,400,262.211653
104.540384,400,263.491049
-753.048078,400,268.169028
-371.017229,400,269.53837
-187.200663,400,270.73123
77.176353,400,272.011794
-73.260787,400,273.318342
-107.678258,400,274.643272
-403.016531,400,279.351039
-344.633275,400,280.650914
-480.548911,400,282.002908
267.77395,400,283.242804
-973.646666,400,284.589628
-644.359261,400,285.813106
-534.833973,400,287.050416
-150.676153,400,291.848448
-796.278474,400,293.16296
-548.995202,400,294.449253
-135.386844,400,295.761425
-85.313533,400,297.027077
-519.680518,400,298.296247
-611.199065,400,302.999582
-15.712155,400,304.217417
-266.856158,400,305.529346
-57.305359,400,307.029196
-503.058272,400,309.054147
126.269386,400,310.711862
84.443798,400,316.734031
409.77502,400,318.158228
-52.638915,400,319.466856
-366.075744,400,320.948458
-505.006369,400,322.228076
11.176509,400,323.609345
-734.091891,400,328.249177
68.106153,400,329.537798
-358.817836,400,330.815273
87.793606,400,332.054817
-458.317881,400,333.513053
45.876562,400,335.035128
97.08217,400,336.617242
236.672202,400,342.748964
-354.53302,400,345.181814
-241.908548,400,346.863559
-496.715673,400,348.430161
-93.999498,400,349.853976
132.052484,400,351.293972
584.562848,400,356.584292
-665.358991,400,357.918052
344.241641,400,359.279047
-92.544773,400,360.612255
-62.224125,400,361.850583
-207.095112,400,363.214362
-590.823702,400,367.964338
461.462164,400,369.344481
157.770608,400,370.563538
-394.76612,400,371.876368
-75.05508,400,373.163977
-359.170703,400,374.49798
1.648522,400,379.210599
-51.880143,400,380.505698
-324.569068,400,381.817377
-388.135344,400,383.118386
42.562664,400,384.500652
-201.964479,400,385.732474
-487.537579,400,387.047034
-376.246937,400,391.811746
-490.291104,400,393.083184
-273.35593,400,394.383288
-735.828561,400,395.629678
16.392809,400,396.97431
-156.943188,400,398.247169
-165.88235,400,402.971466
3.380145,400,404.218769
-87.003859,400,405.499788
53.160732,400,406.822897
-123.053583,400,408.777092
64.515735,400,410.369447
-463.389037,400,414.813533
310.855888,400,415.790613
-432.960292,400,416.712436
-586.035065,400,417.703995
-289.459136,400,418.669538
-800.741736,400,419.5603
111.547372,400,423.21084
-609.213139,400,424.244772
91.927089,400,425.183919
-195.988393,400,426.04375
-268.601555,400,426.974587
73.417904,400,427.862025
-378.467319,400,428.89488
-415.74086,400,432.386155
-209.556406,400,433.249213
166.142059,400,434.165536
6.175458,400,435.050372
-192.193418,400,435.975113
-140.522209,400,436.865141
-260.854661,400,440.13062
-808.867058,400,441.026166
319.601895,400,441.867968
-634.249798,400,442.817704
-77.765095,400,443.951895
-482.915629,400,445.131597
-654.28264,400,448.568202
-338.258724,400,449.462477
-165.643991,400,450.382476
116.885019,400,451.294027
-103.696485,400,452.164853
-843.684461,400,453.038722
-501.046133,400,456.150668
-47.191287,400,457.019815
-108.717384,400,457.911472
-138.94812,400,458.734652
-119.821601,400,459.704846
204.454928,400,460.558007
-469.577522,400,461.428639
-48.621331,400,464.645068
-260.670439,400,465.508831
0.282691,400,466.480176
315.988224,400,467.606125
-51.890395,400,468.638566
-635.840727,400,469.532764
-508.821143,400,472.773241
-314.75452,400,473.774413
-27.01132,400,474.676284
-733.270022,400,475.704572
-534.819633,400,476.538831
179.697739,400,477.402104
432.677089,400,481.025274
-376.31266,400,482.032177
125.984183,400,483.009781
-505.340184,400,484.031622
-79.132691,400,485.234146
-607.243168,400,486.194433
-108.721262,400,489.94745
-205.474956,400,490.953726
338.33328,400,492.002363
-124.394617,400,492.865755
-182.875179,400,493.772854
-126.488675,400,494.682228
87.001234,400,495.548442
-688.558993,400,498.968537
-643.167069,400,499.797424
-718.583242,400,500.710424
263.087623,400,501.550633
-185.210348,400,502.568482
10.933163,400,503.599947
-608.671722,400,507.094155
-164.562841,400,507.989207
-153.417718,400,508.863953
-304.426891,400,509.776375
2.01652,400,510.764562
-554.150451,400,511.788691
67.103853,400,514.93165
-238.612439,400,515.847896
-454.122948,400,516.781616
30.680566,400,518.259956
-585.389961,400,519.729503
-194.720247,400,521.094726
579.016685,400,526.629952
35.530827,400,528.081028
-288.422562,400,529.507483
-384.541671,400,530.839329
213.761931,400,532.36349
-614.160346,400,533.995464
-454.650553,400,534.973624
-946.624937,400,538.899924
-523.290661,400,539.876117
178.298963,400,540.83675
-279.526361,400,541.761301
260.244127,400,542.735182
589.554794,400,543.653163
-129.341305,400,547.161779
-379.956149,400,548.267236
-965.901915,400,549.337262
-518.62081,400,550.345321
-346.256843,400,551.337386
246.441544,400,552.273599
333.747182,400,555.44193
-197.58875,400,556.291515
-143.747586,400,557.162811
92.429729,400,558.011255
-70.231143,400,558.914414
-233.432058,400,559.736853
137.959795,400,562.843998
-90.251001,400,563.682791
-364.668205,400,564.623331
-511.547917,400,565.495523
-214.911136,400,566.319288
-232.573326,400,567.174735
-560.290359,400,568.010295
470.83332,400,571.305798
-413.692953,400,572.123247
313.051214,400,573.073411
-296.51033,400,573.964146
-796.649822,400,574.823716
26.447101,400,575.689258
297.011103,400,578.758456
-284.202616,400,579.632675
-42.997442,400,580.54794
-179.228491,400,581.507471
-9.803971,400,582.330586
-103.458882,400,583.241955
-376.215926,400,586.373825
-33.02423,400,587.217592
-336.233837,400,588.081902
-369.951024,400,588.912383
253.475918,400,589.800383
-44.67047,400,590.609537
79.198403,400,593.781727
-661.919801,400,594.664969
182.351449,400,595.519626
45.642786,400,596.369158
-131.015749,400,597.221735
27.16791,400,598.119325
-776.516326,400,598.961143
-229.918685,400,602.162157
-658.584003,400,603.016451
-282.797497,400,603.943814
-134.745718,400,604.801145
-516.001276,400,605.691973
-258.269019,400,606.579549
-421.944554,400,609.874343
-455.418713,400,610.90985
-480.723846,400,611.765295
302.867753,400,612.693282
67.008217,400,613.650286
69.622703,400,614.586996
-248.870262,400,618.075053
425.458841,400,619.021317
-262.458879,400,619.987369
-496.308759,400,620.856045
-256.392291,400,621.822815
-376.092155,400,622.724796
-40.308834,400,626.148737
-670.292538,400,627.122566
315.703274,400,628.02004
51.981074,400,628.956759
-345.463791,400,629.836282
-512.478372,400,630.750967
-256.189073,400,631.591435
-131.601956,400,634.838476
-157.526037,400,635.792958
-352.847009,400,636.682536
343.147366,400,637.57723
-175.309109,400,638.456865
-353.541284,400,639.388992
161.570581,400,642.554146
-39.343798,400,643.535169
-745.59982,400,644.576017
6.34796,400,645.822497
564.912034,400,646.906317
201.177217,400,647.821839
46.107713,400,651.739592
-39.480419,400,652.681906
-622.597857,400,653.821206
-537.39101,400,654.87256
-107.200364,400,655.930836
-306.197289,400,656.929341
-700.547688,400,660.30843
-506.027823,400,661.263429
-352.914328,400,662.172674
-67.767672,400,663.241714
60.051549,400,664.263045
53.578356,400,665.228478
-285.813419,400,666.110681
92.087466,400,669.519672
-312.305719,400,670.528073
226.261677,400,671.5268
-116.443127,400,672.634393
-407.466192,400,673.603131
-1038.513925,400,674.697972
-37.721922,400,678.005886
-84.919099,400,678.970942
-423.021468,400,679.886303
-111.239962,400,680.729355
-213.675524,400,681.604684
-546.81335,400,682.520191
0.718445,400,685.678386
-1010.176468,400,686.493396
-788.301122,400,687.367627
166.288323,400,688.161001
344.863769,400,689.073491
-814.462772,400,689.963161
-54.348283,400,693.434082
-374.451046,400,694.315264
-531.751166,400,695.196198
68.660297,400,696.116198
-292.041975,400,696.959687
-334.357933,400,697.861636
-242.461005,400,698.794217
-44.014301,400,702.094935
-61.619389,400,702.988956
-818.03513,400,703.844298
-439.034213,400,704.976633
-58.052933,400,705.947855
-287.232158,400,706.973461
-694.52508,400,710.075229
-272.53582,400,711.0614
-306.71599,400,712.042287
-469.896772,400,712.946358
