#{"t_start": 1630122772.2608743, "env_id": "ForexEnv-v0"}
r,l,t
396.38579,400,7.517682
-107.791891,400,8.868175
-529.854208,400,10.041133
-460.875805,400,11.257763
74.037082,400,12.396187
339.574012,400,13.590242
255.663217,400,18.370789
-497.622303,400,19.573365
-336.597621,400,20.962065
-642.139282,400,22.652802
-756.729928,400,24.130757
-1107.762442,400,25.572776
-803.82921,400,30.873491
-434.368371,400,32.1899
163.43521,400,33.840047
381.138574,400,35.305401
-80.190401,400,36.589015
-920.259977,400,38.122387
-1024.64104,400,43.31052
-227.19988,400,44.464821
-174.572481,400,45.588593
-1699.104893,400,46.818112
74.86413,400,48.365853
-716.530165,400,49.692125
-163.983749,400,50.931488
-14.938631,400,56.005205
-76.314586,400,57.19792
-524.347708,400,58.331483
-639.577712,400,59.488968
-109.042211,400,60.75511
-687.08115,400,62.012663
-435.6879,400,66.515769
535.966462,400,67.85289
262.390567,400,69.416885
-1216.223925,400,70.770618
-1030.892792,400,72.189934
-7.13855,400,73.734336
-829.866313,400,78.246371
-1015.391034,400,79.361307
-1433.251288,400,80.548769
373.323233,400,81.87203
-372.257041,400,83.192514
-548.26117,400,84.465732
370.884817,400,88.990079
209.677152,400,90.285859
-279.283403,400,91.489187
289.655861,400,92.835976
-243.987198,400,94.083715
-696.787462,400,95.449098
119.678599,400,96.647681
-726.711,400,101.487693
-1365.997055,400,102.858205
-517.690684,400,104.089827
427.459098,400,105.461798
-704.389923,400,106.837627
-329.46755,400,108.285638
-791.640386,400,113.240983
-514.239186,400,114.487772
355.534732,400,115.816059
-407.612401,400,117.039989
-49.975623,400,118.686817
-323.009991,400,120.270176
-70.604771,400,125.28099
-424.779838,400,126.601787
-391.418685,400,128.016088
-965.731523,400,129.322286
-92.310522,400,130.571233
386.586276,400,131.931137
-52.240375,400,136.533497
-225.115323,400,137.816915
-717.12784,400,139.089661
-576.467574,400,140.365076
52.451269,400,141.663942
-315.347289,400,142.935763
-1434.680261,400,144.221505
409.475496,400,149.007238
-429.23995,400,150.215855
104.777469,400,151.296651
-456.413734,400,152.43891
-533.333249,400,153.570163
12.305331,400,154.732343
-533.300033,400,159.003185
-327.872169,400,160.222692
-716.178763,400,161.45821
44.035658,400,162.65224
-650.36153,400,163.971114
63.726309,400,165.215061
579.629029,400,169.724526
-414.269809,400,170.967627
-742.029424,400,172.120397
696.168662,400,173.28813
-1003.327209,400,174.549075
-542.541475,400,175.730568
-398.716949,400,180.279211
-311.464835,400,181.748717
-526.310898,400,183.435153
427.959706,400,184.979443
-342.005595,400,186.290021
-570.129906,400,187.505451
-19.974613,400,188.969417
-100.160934,400,193.71846
-577.465277,400,195.065704
-749.96584,400,196.336459
321.224555,400,197.637059
728.605241,400,199.17006
-321.161921,400,200.780266
67.093289,400,205.953409
226.139064,400,207.282904
-194.293655,400,209.149961
-475.594433,400,211.26787
313.788405,400,212.574422
-163.47654,400,213.825349
-696.295275,400,218.719528
88.81941,400,220.048268
-703.34779,400,221.18516
512.508292,400,222.467988
10.399855,400,223.716982
-638.985011,400,225.050147
289.582315,400,229.839932
-626.469205,400,231.455527
-394.584065,400,233.128742
-58.269567,400,234.748976
-323.434871,400,236.484642
-705.551776,400,238.05732
-257.963768,400,239.621839
140.261486,400,245.005972
8.473248,400,246.654759
-99.676918,400,248.204001
-37.407765,400,249.643033
92.675732,400,250.964982
-681.911465,400,252.22012
69.486047,400,257.018661
-660.796748,400,258.465836
-824.830071,400,259.751955
35.082863,400,260.99181
414.135741,400,262.266472
-705.745068,400,263.545868
-406.781308,400,268.223846
-873.191205,400,269.592188
210.082288,400,270.786049
-595.507324,400,272.066613
-117.611381,400,273.373161
373.545459,400,274.697226
-613.840208,400,279.404857
-111.631106,400,280.705733
196.589551,400,282.057125
31.782265,400,283.296623
280.142271,400,284.642443
-247.966056,400,285.867924
-427.819371,400,287.105234
-651.42325,400,291.903267
-734.491277,400,293.217779
-210.886228,400,294.504071
-144.851672,400,295.816243
34.825005,400,297.080896
-182.918325,400,298.350059
-864.800023,400,303.053406
-349.743337,400,304.271235
-414.668057,400,305.584165
-313.720197,400,307.083014
-144.683709,400,309.106963
-83.094686,400,310.765683
650.569267,400,316.787848
-861.06016,400,318.213047
-248.450234,400,319.521674
346.274732,400,321.003277
39.325331,400,322.282894
-467.235275,400,323.663164
-725.5007,400,328.303996
-119.054479,400,329.591616
-239.714087,400,330.870091
-40.114956,400,332.108629
-394.903922,400,333.567872
438.593135,400,335.088946
-108.864326,400,336.672061
-169.270345,400,342.803783
-130.384488,400,345.236633
646.570172,400,346.918377
-471.344881,400,348.484979
-863.776553,400,349.90781
-611.208829,400,351.34879
-365.434385,400,356.63911
139.990732,400,357.97187
-473.291303,400,359.333865
-1023.006494,400,360.667073
-972.676116,400,361.905401
-222.164265,400,363.26918
372.345518,400,368.018157
-483.159176,400,369.3993
-366.458412,400,370.618356
39.284327,400,371.930187
-530.05604,400,373.217786
-1.08422,400,374.552798
-422.279706,400,379.265417
108.332283,400,380.558511
-775.721462,400,381.872196
-59.355484,400,383.173204
-144.541522,400,384.554471
-749.596185,400,385.787292
-1010.800811,400,387.100852
-460.645968,400,391.866565
-64.798661,400,393.138002
207.776275,400,394.437107
195.854802,400,395.684497
-472.302156,400,397.029128
-185.913244,400,398.300987
-803.214968,400,403.02526
274.212684,400,404.272584
-732.131052,400,405.554606
-123.720685,400,406.875705
-494.386608,400,408.830912
-600.257299,400,410.424265
-180.979801,400,414.867663
-106.969383,400,415.845432
-49.132498,400,416.767255
-312.594579,400,417.758813
-36.360602,400,418.724356
-607.207853,400,419.615118
-467.443096,400,423.265659
-104.825686,400,424.299591
-12.361585,400,425.237736
-802.0694,400,426.098569
-268.363659,400,427.029405
268.412547,400,427.916844
-509.040366,400,428.949698
-1240.222843,400,432.440973
-263.945631,400,433.304032
-583.535067,400,434.220354
-393.465994,400,435.10419
-1243.999737,400,436.029931
-818.676944,400,436.91996
-56.163542,400,440.185439
-478.225328,400,441.080984
-552.101535,400,441.922786
-430.241629,400,442.872523
20.429375,400,444.005713
-504.109476,400,445.185415
-428.621372,400,448.623021
192.996417,400,449.517295
119.654388,400,450.436294
-625.136045,400,451.348845
-443.534526,400,452.219672
41.191531,400,453.09254
186.764176,400,456.204486
-109.962,400,457.074634
-633.200843,400,457.96629
155.265775,400,458.78947
-366.62,400,459.759664
108.704122,400,460.612825
-40.268108,400,461.483457
-241.933703,400,464.699886
-309.415637,400,465.562649
-373.541426,400,466.534994
-281.376077,400,467.659943
-653.31235,400,468.692384
334.253139,400,469.587088
-1097.184926,400,472.828059
-1031.121805,400,473.829231
132.252386,400,474.730102
-495.165463,400,475.759391
98.497007,400,476.592649
-324.44731,400,477.456922
-187.97163,400,481.080093
15.040213,400,482.085998
-504.600106,400,483.0646
87.438101,400,484.08644
-1205.218885,400,485.288964
-376.998159,400,486.249252
-135.772305,400,490.001268
-600.034066,400,491.008544
-691.301984,400,492.056172
1.402374,400,492.919576
-724.693059,400,493.826672
-174.58166,400,494.736044
407.571536,400,495.60226
8.91111,400,499.023355
-136.204904,400,499.852242
-172.462346,400,500.765242
-1100.366161,400,501.605452
4.600157,400,502.623301
-138.638049,400,503.654766
-269.486207,400,507.147956
-458.823109,400,508.044025
-468.679161,400,508.918772
-512.270671,400,509.831193
-334.45751,400,510.819381
-143.148249,400,511.843509
384.283018,400,514.985468
15.938158,400,515.901714
-350.594252,400,516.836434
-123.458978,400,518.314775
-596.681442,400,519.784321
612.941588,400,521.149544
-459.28911,400,526.68378
-79.474232,400,528.135847
-205.104015,400,529.561316
204.536279,400,530.892146
586.204499,400,532.418308
-428.264405,400,534.049282
-569.141457,400,535.027446
-408.968701,400,538.954742
-863.424126,400,539.929935
-337.729015,400,540.891568
-1054.586726,400,541.815118
-171.702953,400,542.789
-677.018561,400,543.706982
-371.872864,400,547.216598
-161.531474,400,548.321054
111.276987,400,549.391082
-124.77033,400,550.400139
-441.074212,400,551.392205
-983.587536,400,552.327419
604.1603,400,555.496748
-622.588257,400,556.346333
-1289.289392,400,557.216626
157.753952,400,558.065074
-309.549164,400,558.968232
48.720131,400,559.791671
-1204.64142,400,562.898817
117.232767,400,563.73761
-389.430635,400,564.678149
-1317.506643,400,565.550341
-425.903438,400,566.373103
-332.572687,400,567.228553
-375.400651,400,568.065113
-402.985595,400,571.359616
112.689775,400,572.178066
295.318816,400,573.12823
-854.01653,400,574.018965
569.870222,400,574.878534
-577.767851,400,575.744076
-337.386299,400,578.813274
-358.951337,400,579.686493
-722.437651,400,580.602759
-884.315101,400,581.561289
569.111573,400,582.385405
107.549388,400,583.296774
-403.731371,400,586.428643
-562.873151,400,587.27141
-678.234912,400,588.13672
-679.082873,400,588.966201
372.629621,400,589.8542
1301.530716,400,590.664356
-367.753815,400,593.836545
-204.291788,400,594.719788
-792.996605,400,595.574444
-792.932867,400,596.422976
-15.493919,400,597.275551
-286.277288,400,598.174144
176.22132,400,599.015962
232.586349,400,602.215975
-812.261785,400,603.07127
-661.751621,400,603.998632
-322.129942,400,604.855963
-706.190585,400,605.746792
55.538896,400,606.634368
-497.701141,400,609.929162
-368.705754,400,610.964668
-271.169022,400,611.820113
21.73995,400,612.748101
189.96784,400,613.705104
-839.048227,400,614.641815
-711.394193,400,618.129872
306.291162,400,619.076135
-471.014506,400,620.042187
54.319085,400,620.910863
-183.888973,400,621.877634
-1104.725772,400,622.779614
-437.69808,400,626.203555
-206.54666,400,627.176383
-255.317407,400,628.074858
224.176436,400,629.011578
-379.592002,400,629.8911
-997.202001,400,630.805785
-241.312151,400,631.646253
-769.516973,400,634.893295
-565.699198,400,635.846777
-1124.895308,400,636.736352
578.351756,400,637.632049
759.867374,400,638.511683
-125.600961,400,639.44381
7.561508,400,642.608964
-679.16709,400,643.589988
-352.783939,400,644.629837
-379.445917,400,645.875334
-24.985995,400,646.961135
-633.469568,400,647.876657
-103.055614,400,651.79441
-841.743212,400,652.736724
158.041453,400,653.876024
-415.607967,400,654.927379
-365.858008,400,655.985655
81.027926,400,656.984159
147.14276,400,660.362248
-298.253376,400,661.318247
-546.105816,400,662.227492
224.112781,400,663.296533
-253.955566,400,664.316862
-132.571751,400,665.282295
522.727217,400,666.165499
-59.68502,400,669.574491
-659.595081,400,670.582891
608.248044,400,671.581618
-128.115483,400,672.689212
131.916347,400,673.657949
