#{"t_start": 1630122772.4362469, "env_id": "ForexEnv-v0"}
r,l,t
1282.212372,400,7.342309
618.103063,400,8.693803
-571.215258,400,9.866763
92.472869,400,11.082675
-158.802184,400,12.222806
280.317528,400,13.414869
540.935165,400,18.196416
1547.598874,400,19.397993
325.367773,400,20.789685
120.366411,400,22.47843
412.618948,400,23.955385
-467.02392,400,25.397403
416.476503,400,30.698118
-498.719843,400,32.014527
451.215814,400,33.665675
-474.777923,400,35.130029
71.137066,400,36.413643
592.017007,400,37.948014
-579.453346,400,43.138193
407.144682,400,44.289448
-1046.269142,400,45.414254
-1167.283009,400,46.64375
-47.877028,400,48.190481
955.310041,400,49.520755
-797.928217,400,50.758115
938.563627,400,55.830832
330.799783,400,57.023572
-77.328455,400,58.157111
-1206.232465,400,59.314595
-332.245382,400,60.580737
-192.1258,400,61.838243
-472.256995,400,66.3414
-196.027769,400,67.677517
97.406895,400,69.242511
943.679182,400,70.595245
984.300346,400,72.014561
516.55224,400,73.559965
-438.725702,400,78.071996
190.810418,400,79.188914
-146.632495,400,80.374397
-121.966003,400,81.696657
675.41112,400,83.019158
-454.5606,400,84.290359
1396.515815,400,88.814706
-251.944866,400,90.11149
-541.738214,400,91.314847
-1084.099174,400,92.660603
574.605835,400,93.909332
-661.50319,400,95.274725
-232.800097,400,96.473306
-30.658899,400,101.313327
-830.678964,400,102.68484
-184.135253,400,103.914454
-251.665264,400,105.28741
5.844848,400,106.662872
-261.233875,400,108.111264
867.913057,400,113.066614
752.536208,400,114.313401
726.020313,400,115.640687
-640.156637,400,116.86662
-950.28749,400,118.51247
-156.180309,400,120.0958
362.249483,400,125.106617
412.650186,400,126.427413
438.136587,400,127.841718
1344.349446,400,129.147911
236.68083,400,130.39686
629.321395,400,131.756747
-394.810784,400,136.358124
550.237789,400,137.64226
1124.537649,400,138.915288
-46.896149,400,140.190676
-960.303781,400,141.489568
34.96626,400,142.761421
945.701807,400,144.047131
460.292332,400,148.832868
-508.639678,400,150.041482
769.523973,400,151.12229
799.402838,400,152.264536
-1054.862381,400,153.394791
-184.508286,400,154.557969
-1624.057318,400,158.828813
67.313628,400,160.047319
737.178035,400,161.285869
-625.127943,400,162.476867
198.695002,400,163.796741
-348.146619,400,165.039689
-522.53078,400,169.551237
-662.69387,400,170.793254
-518.264259,400,171.946025
-555.777348,400,173.112757
129.302931,400,174.374703
-514.435224,400,175.556195
1351.557994,400,180.104844
71.675005,400,181.574349
541.713729,400,183.25978
727.526757,400,184.805065
-610.512841,400,186.114649
320.460891,400,187.330605
521.908661,400,188.794044
890.6259,400,193.544087
-88.968557,400,194.891335
24.891966,400,196.161086
365.996331,400,197.462686
-189.538685,400,198.99567
-550.431924,400,200.605893
-639.004132,400,205.778036
-13.982481,400,207.108532
1347.385687,400,208.975593
-433.522222,400,211.093505
-904.992644,400,212.400069
413.044415,400,213.652981
-550.114893,400,218.545156
549.420224,400,219.873094
-423.011233,400,221.010788
450.413818,400,222.292615
594.446546,400,223.542704
930.505774,400,224.875773
-593.703351,400,229.665541
1186.649421,400,231.281154
7.684875,400,232.954466
159.957189,400,234.574604
-34.202722,400,236.310265
780.945114,400,237.882948
-443.248471,400,239.446466
-595.930683,400,244.831596
802.618563,400,246.480386
394.605426,400,248.029629
85.569472,400,249.470657
-1867.210537,400,250.790609
688.969092,400,252.045745
571.144564,400,256.84429
586.528004,400,258.291466
340.336918,400,259.577578
