#{"t_start": 1630122293.0338304, "env_id": "ForexEnv-v0"}
r,l,t
65.893043,400,5.607418
-709.888194,400,6.458369
19.05225,400,7.242393
-1125.971547,400,8.114479
-34.677882,400,9.064718
-571.380098,400,9.940695
-310.811153,400,13.611052
-1279.200484,400,14.512134
-981.476832,400,15.334435
28.686634,400,16.289113
621.758639,400,17.658339
-683.713243,400,18.711874
-530.711524,400,21.958732
241.709486,400,22.894088
64.2646,400,23.756519
-282.172661,400,24.605259
-720.700023,400,25.445815
-771.95414,400,26.307168
409.578356,400,29.564035
-911.081647,400,30.544676
-703.024809,400,31.399452
-1105.292748,400,32.390475
354.055239,400,33.511819
1425.675377,400,34.559412
22.241374,400,35.544109
89.173486,400,39.075455
599.094596,400,40.066068
-98.893172,400,40.921912
-98.365074,400,41.793877
-364.708222,400,42.61492
-1029.304628,400,43.468191
-1148.729444,400,46.533124
-572.951589,400,47.41119
-19.610157,400,48.278358
-302.74015,400,49.122686
57.6032,400,49.987208
-642.421097,400,50.930956
-137.045864,400,54.029018
-681.862781,400,55.024828
-258.682326,400,55.975977
-238.217371,400,56.844012
-634.805013,400,57.655882
-202.871795,400,58.488375
-624.505009,400,61.472142
1116.46748,400,62.363328
-475.473802,400,63.161995
115.865826,400,64.019627
1032.401476,400,64.812975
340.966113,400,65.757389
1461.896933,400,66.61843
359.615426,400,69.629633
-810.526423,400,70.710722
-802.631166,400,71.624115
244.354517,400,72.517704
902.377804,400,73.301252
-744.423644,400,74.244573
-692.63354,400,77.639946
-823.441648,400,78.688067
27.090308,400,79.828997
-715.128507,400,80.757917
939.867618,400,81.95433
-738.269104,400,82.861976
-889.396747,400,86.622735
-38.797721,400,87.44099
454.865444,400,88.464003
-16.68309,400,89.512109
18.838667,400,90.321787
-95.560691,400,91.168528
671.184123,400,94.557489
54.115239,400,95.549905
156.679802,400,96.363341
-66.353235,400,97.202534
-104.139696,400,98.2856
367.415567,400,99.226929
-552.480694,400,100.058919
-246.59688,400,103.579097
142.119724,400,104.460394
-806.555615,400,105.260004
489.032849,400,106.093034
-974.262009,400,106.906307
-846.8275,400,107.824124
-191.441282,400,110.865699
184.300165,400,111.660537
691.035706,400,112.581148
628.127551,400,113.46026
62.367231,400,114.529259
-434.091021,400,115.32726
-402.005754,400,118.357086
-693.958499,400,119.191085
-109.988105,400,120.074086
-473.677196,400,120.904088
-633.183946,400,121.711997
-491.064569,400,122.547414
-528.993555,400,125.546038
551.481979,400,126.399008
-606.145559,400,127.196956
885.482451,400,128.018007
-526.83247,400,128.861146
-170.308742,400,129.748258
174.700716,400,130.693348
-1102.522768,400,133.71205
-932.553535,400,134.566049
-411.518862,400,135.35005
40.050113,400,136.18805
-325.803349,400,137.021049
572.612105,400,137.822048
-765.739296,400,140.909019
570.935454,400,141.720576
449.85709,400,142.578256
-513.436318,400,143.42221
654.668288,400,144.26321
-555.981061,400,145.073625
-322.593746,400,148.173195
-38.376962,400,149.028962
-557.829992,400,149.807999
-275.642819,400,150.616032
5.613046,400,151.423033
-1109.09451,400,152.365033
-47.309014,400,155.49993
82.398075,400,156.340965
-984.41714,400,157.160976
-373.295467,400,157.942976
-1341.498473,400,158.764977
-386.707758,400,159.556977
-322.765083,400,160.432138
-8.658837,400,163.41614
777.113185,400,164.331949
-88.839064,400,165.30395
76.742273,400,166.33795
711.445412,400,167.159459
261.630193,400,167.958029
-640.734799,400,171.01398
-1051.732913,400,171.805981
-50.693292,400,172.638828
-162.60457,400,173.419004
-379.609325,400,174.357427
-124.828447,400,175.256004
-79.09525,400,178.367087
-122.937028,400,179.257428
-974.976694,400,180.122047
235.042135,400,181.084634
188.335351,400,181.985632
-364.213948,400,182.843348
-419.439278,400,186.817089
-455.32663,400,188.08063
-503.72138,400,189.315727
325.094145,400,190.447919
-577.83886,400,191.641036
115.992418,400,192.733255
-159.907269,400,193.978347
-423.897377,400,198.459875
714.330883,400,199.778235
-556.287606,400,201.12046
33.015289,400,202.215014
-147.524539,400,203.149082
1140.116349,400,204.031082
444.46552,400,209.664205
-7.027618,400,211.132004
-761.187603,400,212.49457
-753.653214,400,213.885712
-462.267948,400,215.33783
-1152.698021,400,216.615882
-232.468088,400,221.598134
1244.62923,400,222.881132
-590.824309,400,224.025893
-635.53843,400,225.233893
-62.861891,400,226.420009
-100.268917,400,227.601111
-984.280204,400,232.200112
791.865861,400,233.50111
978.999577,400,234.866112
434.868438,400,236.06467
-724.471014,400,237.457247
532.789101,400,238.699789
439.116239,400,239.831328
-544.933012,400,244.301061
-823.036832,400,245.66332
-368.575362,400,246.97348
633.136608,400,248.19746
-508.762702,400,249.459265
635.796195,400,250.630264
-386.518454,400,255.347084
-827.866757,400,256.574177
-1100.921689,400,257.915822
36.788704,400,259.082299
-862.866036,400,260.195973
-408.339944,400,261.433992
-967.179021,400,265.867107
4.228651,400,267.048286
-138.564875,400,268.152954
-1540.937759,400,269.395461
-68.72794,400,270.467462
-1619.875808,400,271.782002
249.837922,400,276.180766
-923.062326,400,277.393294
143.478968,400,278.591303
32.34494,400,280.146294
-29.594733,400,281.590989
-642.129355,400,283.260508
558.80791,400,284.626848
-726.211548,400,289.734275
-707.402579,400,290.884273
-56.186796,400,292.131342
-251.856887,400,293.397405
-113.037689,400,294.580049
-44.438837,400,295.799584
-55.686605,400,300.097808
-967.036556,400,301.182019
404.820702,400,302.364164
-626.846879,400,303.551717
-60.963988,400,304.664268
-274.416667,400,305.820268
-343.439816,400,310.736129
652.26546,400,312.032688
-234.630823,400,313.667338
1357.250721,400,314.982391
-314.315329,400,316.431947
-339.335291,400,317.63316
265.445018,400,322.282092
630.298308,400,323.610733
-394.659754,400,325.009391
-176.493369,400,326.258909
649.308765,400,327.77966
713.635931,400,329.095223
-256.002455,400,330.44607
57.529424,400,335.372536
-893.542162,400,336.664626
700.609312,400,338.056891
-857.093865,400,339.316966
-505.467157,400,340.830807
-68.275881,400,342.154357
