#{"t_start": 1630122292.9928305, "env_id": "ForexEnv-v0"}
r,l,t
251.194338,400,5.648418
-189.078556,400,6.499369
-50.164927,400,7.283393
331.451833,400,8.154979
-23.884876,400,9.105718
-157.640557,400,9.981695
619.0184,400,13.652052
-154.572151,400,14.552135
-357.505946,400,15.374425
-17.086325,400,16.330113
468.482035,400,17.699339
-130.921729,400,18.752874
481.87517,400,21.999732
-193.13339,400,22.935088
-251.582441,400,23.797519
-338.287311,400,24.646259
130.973257,400,25.486815
-89.851435,400,26.348168
-428.610481,400,29.604033
-211.37312,400,30.585676
-964.492629,400,31.440452
-164.342467,400,32.430464
-629.870102,400,33.551818
76.30106,400,34.600412
-494.502749,400,35.584107
177.092447,400,39.116455
443.97276,400,40.106067
725.458704,400,40.962912
-156.120862,400,41.833877
315.044372,400,42.65592
49.385849,400,43.508192
158.535022,400,46.574124
324.069245,400,47.45219
123.651873,400,48.318358
-0.069582,400,49.163686
-101.320325,400,50.028208
1379.361635,400,50.971956
3.948103,400,54.070018
-95.505959,400,55.065828
579.170528,400,56.015976
300.559867,400,56.885012
-224.769664,400,57.695883
-150.0895,400,58.529375
-89.541721,400,61.513142
545.45935,400,62.404328
-609.140473,400,63.201995
-775.336814,400,64.060627
-716.115036,400,64.853975
508.100548,400,65.798389
733.788431,400,66.65943
-435.70525,400,69.670633
259.445779,400,70.751722
-550.761668,400,71.664145
-124.921005,400,72.558704
651.567481,400,73.341251
329.061399,400,74.285573
739.253204,400,77.680946
-978.918251,400,78.728051
1037.02726,400,79.869997
-563.06234,400,80.798917
1.928768,400,81.99533
396.31401,400,82.902976
368.378456,400,86.663735
-459.906617,400,87.480989
906.29277,400,88.505003
-220.891822,400,89.553109
-38.497771,400,90.362787
445.056991,400,91.209528
294.19789,400,94.598489
-270.515912,400,95.590905
755.977671,400,96.404341
-89.585055,400,97.243534
201.972421,400,98.3266
280.426026,400,99.266927
281.705549,400,100.099919
703.497135,400,103.620097
463.024895,400,104.501394
398.745481,400,105.301003
-146.684684,400,106.134034
-256.626223,400,106.947306
-459.417597,400,107.864123
-341.47267,400,110.906699
48.546253,400,111.701537
565.688547,400,112.622148
574.897453,400,113.50126
-581.984895,400,114.570259
311.583217,400,115.36726
-321.861547,400,118.397085
173.428342,400,119.232085
348.979173,400,120.115086
-271.766638,400,120.944085
713.401567,400,121.751996
148.889563,400,122.587414
113.539828,400,125.587038
481.448196,400,126.440008
-904.17625,400,127.237956
-261.658224,400,128.059007
119.240257,400,128.902146
78.883166,400,129.789258
375.623465,400,130.734348
-122.996715,400,133.75205
-475.939484,400,134.606049
-224.825774,400,135.39105
-150.635812,400,136.22905
-367.552096,400,137.061049
850.547374,400,137.863048
