#{"t_start": 1630122293.1158304, "env_id": "ForexEnv-v0"}
r,l,t
-170.787427,400,5.525418
-380.592352,400,6.377369
124.573608,400,7.161395
588.291632,400,8.032479
-286.030208,400,8.983724
354.432091,400,9.859694
-739.704324,400,13.529052
662.271881,400,14.430134
-144.024829,400,15.252435
718.476903,400,16.207113
-828.666213,400,17.576339
494.598318,400,18.630875
-107.541975,400,21.876732
105.625736,400,22.813086
807.037317,400,23.675519
726.114509,400,24.523259
336.966557,400,25.364815
184.908626,400,26.226168
-203.440768,400,29.482035
626.332479,400,30.463677
557.361465,400,31.318452
-675.315582,400,32.308475
-1162.172788,400,33.429819
1192.522564,400,34.477412
253.09973,400,35.464108
259.803825,400,38.994451
-163.340032,400,39.984068
-175.305387,400,40.839912
659.42431,400,41.711877
61.988939,400,42.533607
-139.818215,400,43.386191
1024.485103,400,46.451124
407.473665,400,47.32919
-82.016202,400,48.196358
-708.565683,400,49.041688
377.778932,400,49.906207
408.968661,400,50.848956
1632.066,400,53.948018
391.350165,400,54.943833
-899.680415,400,55.893977
146.851453,400,56.763012
-559.098921,400,57.573882
466.298653,400,58.406375
-327.687984,400,61.390142
-728.537425,400,62.282337
907.987426,400,63.079995
380.319698,400,63.937627
1384.653089,400,64.731975
77.502347,400,65.675389
60.027094,400,66.537429
-386.862606,400,69.547633
540.15485,400,70.629722
-575.504716,400,71.542115
2033.580086,400,72.435704
1024.431461,400,73.219252
989.148027,400,74.163049
469.208207,400,77.558946
495.414274,400,78.607054
-653.708298,400,79.747998
1146.883318,400,80.675917
711.172019,400,81.87233
132.168638,400,82.779976
104.305951,400,86.540735
-464.630308,400,87.35899
429.996949,400,88.382003
589.054542,400,89.430109
236.661546,400,90.240787
-262.881244,400,91.087528
-716.001193,400,94.476486
545.273463,400,95.468905
238.242531,400,96.282348
-303.042499,400,97.121535
396.190448,400,98.2036
542.326845,400,99.144929
596.138657,400,99.977919
228.180453,400,103.497097
1156.495524,400,104.378394
673.029222,400,105.178004
-363.651689,400,106.012035
-752.58747,400,106.825307
258.023869,400,107.742124
238.777075,400,110.784699
-625.209332,400,111.579536
-132.183689,400,112.500148
620.37516,400,113.37926
672.264973,400,114.44826
590.515806,400,115.24526
-658.857037,400,118.275086
-983.542989,400,119.110086
-313.288579,400,119.992086
-517.282894,400,120.822088
267.267151,400,121.629997
-522.886394,400,122.465414
308.888495,400,125.465039
335.225994,400,126.317008
1359.516341,400,127.115957
-1117.005064,400,127.936007
-462.697194,400,128.779146
-290.167558,400,129.667259
82.772714,400,130.61235
-322.857885,400,133.63005
